标题	创建时间	来源	备注	推送网站	推送公众号	推送头条号	同步飞书
"Brawler"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $12,260 · 活跃订阅 2,255 · 近12个月营收 $83	✅	❌	❌	❌
"axis-labc2026"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $3,203 · 活跃订阅 297 · 近12个月营收 $24,318 · 	✅	❌	❌	❌
"Billguard"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $2,315 · 累计营收 $2	✅	❌	❌	❌
"CastPlus"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $2,095 · 活跃订阅 59 · 近12个月营收 $15,591 · 累	✅	❌	❌	❌
"aerie"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,542 · 活跃订阅 4 · 近12个月营收 $27,845 · 累计	✅	❌	❌	❌
"Byrne Media Ltd"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $9 · 活跃订阅 1 · 近12个月营收 $5,015 · 累计营收 $8	✅	❌	❌	❌
"Authex"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $956 · 活跃订阅 22 · 近12个月营收 $13,293 · 累计营	✅	❌	❌	❌
"Aila"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $19,333 · 活跃订阅 105 · 近12个月营收 $81,185 ·	✅	❌	❌	❌
"Adscriptly"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $2,776 · 活跃订阅 5 · 近12个月营收 $32,231 · 累计	✅	❌	❌	❌
"Angular Material Blocks"	2026-09-15	TrustMRR 导入	"支付验证：Paddle · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $4,088 · 累计营收 $9	✅	❌	❌	❌
"Ai Editor: Photo & Video"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $75 · 活跃订阅 13 · 近12个月营收 $1,928 · 累	✅	❌	❌	❌
"Blue eSIM"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $4,833 · 累计营收 $4	✅	❌	❌	❌
"BuildMyAgent.io"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $16,071 · 活跃订阅 338 · 近12个月营收 $465,145 	✅	❌	❌	❌
"BarGPT"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $218 · 活跃订阅 73 · 近12个月营收 $3,039 · 累计营收	✅	❌	❌	❌
"AI SuitUp"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $49,691 · 累计营收 $	✅	❌	❌	❌
"AI Song & Clip Generator"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $1,486 · 活跃订阅 367 · 近12个月营收 $35,26	✅	❌	❌	❌
"Angel Match"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $28,344 · 活跃订阅 325 · 近12个月营收 $373,529 	✅	❌	❌	❌
"Cat Games"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $668 · 活跃订阅 41 · 近12个月营收 $4,638 · 	✅	❌	❌	❌
"Adle"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $9,852 · 活跃订阅 14 · 近12个月营收 $131,360 · 	✅	❌	❌	❌
"Audixa AI"	2026-09-15	TrustMRR 导入	"支付验证：Dodo Payments · 当前 MRR $70 · 活跃订阅 5 · 近12个月营收 $2,758 ·	✅	❌	❌	❌
"BackdropBoost"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $46 · 活跃订阅 2 · 近12个月营收 $1,865 · 累计营收 $	✅	❌	❌	❌
"Chatsell.co"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $349 · 活跃订阅 1 · 近12个月营收 $2,792 · 累计营收 	✅	❌	❌	❌
"Casa Fran Concepts LLC"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $998 · 活跃订阅 2 · 近12个月营收 $3,915 · 累计营收 	✅	❌	❌	❌
"Fit It On"	2026-09-15	TrustMRR 导入	"支付验证：Lemon Squeezy · 当前 MRR $300 · 活跃订阅 15 · 近12个月营收 $2,038	✅	❌	❌	❌
"Aera Browser"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $263 · 活跃订阅 5 · 近12个月营收 $3,685 · 累计营收 	✅	❌	❌	❌
"AnyAPI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $1,984 · 累计营收 $1	✅	❌	❌	❌
"Amicatek"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $1,592 · 累计营收 $2	✅	❌	❌	❌
"Apogee"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $3,421 · 活跃订阅 39 · 近12个月营收 $23,196 · 累	✅	❌	❌	❌
"AI Rewrite"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $132 · 活跃订阅 22 · 近12个月营收 $1,417 · 	✅	❌	❌	❌
"Boxer AI"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $7,763 · 活跃订阅 763 · 近12个月营收 $36,04	✅	❌	❌	❌
"Corsidia"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $834,572 · 累计营收 	✅	❌	❌	❌
"Blawgy.com"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,582 · 活跃订阅 20 · 近12个月营收 $14,344 · 累	✅	❌	❌	❌
"Blipix"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,549 · 活跃订阅 43 · 近12个月营收 $31,896 · 累	✅	❌	❌	❌
"Carbsy"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $259 · 活跃订阅 52 · 近12个月营收 $2,028 · 	✅	❌	❌	❌
"FitCal"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $5,935 · 活跃订阅 2,724 · 近12个月营收 $131	✅	❌	❌	❌
"FirstRep"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $6,750 · 累计营收 $6	✅	❌	❌	❌
"Changelogfy"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $3,876 · 活跃订阅 57 · 近12个月营收 $22,431 · 累	✅	❌	❌	❌
"Orbit AI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $557 · 活跃订阅 7 · 近12个月营收 $2,998 · 累计营收 	✅	❌	❌	❌
"BreadSync"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $4,952 · 活跃订阅 54 · 近12个月营收 $37,047 · 累	✅	❌	❌	❌
"Apply Turbo"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $288 · 活跃订阅 17 · 近12个月营收 $3,172 · 累计营收	✅	❌	❌	❌
"Canopy API"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $991 · 活跃订阅 9 · 近12个月营收 $23,036 · 累计营收	✅	❌	❌	❌
"AIWITH.ME"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $439 · 活跃订阅 15 · 近12个月营收 $8,322 · 累计营收	✅	❌	❌	❌
"AI Cover Music Video"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $376 · 活跃订阅 26 · 近12个月营收 $4,107 · 	✅	❌	❌	❌
"AI Decorator"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $197 · 活跃订阅 25 · 近12个月营收 $5,432 · 	✅	❌	❌	❌
"CancelPause"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $293 · 活跃订阅 7 · 近12个月营收 $2,011 · 累计营收 	✅	❌	❌	❌
"C12s AI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,317 · 活跃订阅 5 · 近12个月营收 $5,150 · 累计营	✅	❌	❌	❌
"Certified Arborist Theory"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $259 · 活跃订阅 32 · 近12个月营收 $4,123 · 	✅	❌	❌	❌
"CheckVibe"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,187 · 活跃订阅 43 · 近12个月营收 $11,029 · 累	✅	❌	❌	❌
"AutoReels.AI"	2026-09-15	TrustMRR 导入	"支付验证：Lemon Squeezy · 当前 MRR $1,319 · 活跃订阅 53 · 近12个月营收 $26,	✅	❌	❌	❌
"AutoLead"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $206 · 活跃订阅 4 · 近12个月营收 $6,229 · 累计营收 	✅	❌	❌	❌
"AlienArt.io"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,609 · 活跃订阅 91 · 近12个月营收 $20,800 · 累	✅	❌	❌	❌
"Aleister"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $20,590 · 累计营收 $	✅	❌	❌	❌
"Automate & Chill"	2026-09-15	TrustMRR 导入	"支付验证：Lemon Squeezy · 当前 MRR $674 · 活跃订阅 68 · 近12个月营收 $8,152	✅	❌	❌	❌
Ghost	2026-09-15	TrustMRR 导入	GitHub 55,294 star · 11,958 fork · MIT 许可 · 仓库创建于 2013-05-04	✅	❌	❌	❌
"AppitStudio Apps Bundle And Services"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $13,851 · 累计营收 $	✅	❌	❌	❌
"BeGen"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $202 · 活跃订阅 63 · 近12个月营收 $3,057 · 	✅	❌	❌	❌
"Artiforge"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $251 · 活跃订阅 12 · 近12个月营收 $2,550 · 累计营收	✅	❌	❌	❌
"Blog2Video"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $531 · 活跃订阅 13 · 近12个月营收 $4,546 · 累计营收	✅	❌	❌	❌
"Orbio"	2026-09-15	TrustMRR 导入	"支付验证：Whop · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $6,830 · 累计营收 $6,8	✅	❌	❌	❌
"FireCert"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $6,055 · 活跃订阅 50 · 近12个月营收 $13,455 · 累	✅	❌	❌	❌
"AEO Engine"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $80,601 · 活跃订阅 38 · 近12个月营收 $900,860 ·	✅	❌	❌	❌
"Aimytrade.io"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $240 · 活跃订阅 12 · 近12个月营收 $6,130 · 累计营收	✅	❌	❌	❌
"Bouncer"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $3,990 · 活跃订阅 46 · 近12个月营收 $20,737 · 累	✅	❌	❌	❌
"AI Resources"	2026-09-15	TrustMRR 导入	"支付验证：Polar · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $178 · 累计营收 $2,53	✅	❌	❌	❌
"AuotAIShorts"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $168 · 活跃订阅 9 · 近12个月营收 $2,353 · 累	✅	❌	❌	❌
"AyeWatch - State of the Art AI Internet Monitor"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $149 · 活跃订阅 9 · 近12个月营收 $2,802 · 累	✅	❌	❌	❌
"Artadum"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $280 · 活跃订阅 35 · 近12个月营收 $4,892 · 累计营收	✅	❌	❌	❌
"Archifruits.ai"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $4,747 · 活跃订阅 106 · 近12个月营收 $66,640 · 	✅	❌	❌	❌
"AI Toolbox"	2026-09-15	TrustMRR 导入	"支付验证：Lemon Squeezy (API key), Polar · 当前 MRR $1,444 · 活跃订阅 	✅	❌	❌	❌
"AbMaxx"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $15,098 · 活跃订阅 3,737 · 近12个月营收 $11	✅	❌	❌	❌
"Captioner"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $132 · 活跃订阅 14 · 近12个月营收 $1,835 · 累计营收	✅	❌	❌	❌
"CBT ARTIFICIAL INTELLIGENCE TECHNOLOGY INC DBA ZUUZ"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $7,628 · 活跃订阅 23 · 近12个月营收 $10,290 · 累	✅	❌	❌	❌
"3D-AGENT"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $5,196 · 活跃订阅 212 · 近12个月营收 $20,872 · 	✅	❌	❌	❌
"AI Headshot Generator"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $377 · 累计营收 $2,3	✅	❌	❌	❌
"Advise.so"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $21,966 · 活跃订阅 215 · 近12个月营收 $308,255 	✅	❌	❌	❌
"Bibly"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $5,138 · 活跃订阅 1,061 · 近12个月营收 $62,	✅	❌	❌	❌
"BETIX"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $265 · 活跃订阅 16 · 近12个月营收 $8,781 · 累计营收	✅	❌	❌	❌
"APPMOCKUPGENERATOR"	2026-09-15	TrustMRR 导入	"支付验证：Dodo Payments · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $4,142 · 	✅	❌	❌	❌
"atslebenslauf.com"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $541 · 活跃订阅 28 · 近12个月营收 $4,174 · 累计营收	✅	❌	❌	❌
"Babelbot"	2026-09-15	TrustMRR 导入	"支付验证：Polar (API key), Stripe · 当前 MRR $505 · 活跃订阅 40 · 近12个	✅	❌	❌	❌
"AI Smart Decor"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $384 · 活跃订阅 30 · 近12个月营收 $2,567 · 	✅	❌	❌	❌
"BrandMyMac"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $13,080 · 累计营收 $	✅	❌	❌	❌
"blogr.ai"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,491 · 活跃订阅 29 · 近12个月营收 $8,811 · 累计	✅	❌	❌	❌
"Headshots"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $136 · 活跃订阅 12 · 近12个月营收 $36,411 · 累计营	✅	❌	❌	❌
"Baller"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $2,263 · 活跃订阅 376 · 近12个月营收 $13,12	✅	❌	❌	❌
"Bolty"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $372 · 活跃订阅 50 · 近12个月营收 $3,235 · 	✅	❌	❌	❌
"Akari"	2026-09-15	TrustMRR 导入	"支付验证：Whop · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $0 · 累计营收 $207,222	✅	❌	❌	❌
"10Xprofit.io"	2026-09-15	TrustMRR 导入	"支付验证：Creem · 当前 MRR $20 · 活跃订阅 2 · 近12个月营收 $742 · 累计营收 $742	✅	❌	❌	❌
"Fit Senpai"	2026-09-15	TrustMRR 导入	"支付验证：Lemon Squeezy · 当前 MRR $135 · 活跃订阅 20 · 近12个月营收 $1,540	✅	❌	❌	❌
"Business Freelance"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $40,321 · 累计营收 $	✅	❌	❌	❌
"AppMakerKit"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $7,339 · 累计营收 $7	✅	❌	❌	❌
"AutoWP"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $19 · 活跃订阅 1 · 近12个月营收 $7,201 · 累计营收 $	✅	❌	❌	❌
"Ad Library Accelerator - Chrome Plugin for Facebook Ad Library / Meta / Instagram in Europe"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $81 · 活跃订阅 6 · 近12个月营收 $15,192 · 累计营收 	✅	❌	❌	❌
"Coralflavor"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,552 · 活跃订阅 168 · 近12个月营收 $9,596 · 累	✅	❌	❌	❌
"Bookedin"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $12,931 · 活跃订阅 98 · 近12个月营收 $126,159 ·	✅	❌	❌	❌
"Chat whisperer"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $557 · 活跃订阅 14 · 近12个月营收 $9,686 · 累计营收	✅	❌	❌	❌
"Blur It"	2026-09-15	TrustMRR 导入	"支付验证：Polar · 当前 MRR $11 · 活跃订阅 4 · 近12个月营收 $1,896 · 累计营收 $1	✅	❌	❌	❌
"BrandiblyAI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $350 · 活跃订阅 7 · 近12个月营收 $32,581 · 累计营收	✅	❌	❌	❌
"assistants.ae"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $3,240 · 累计营收 $3	✅	❌	❌	❌
"Agent MMA"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $736 · 活跃订阅 58 · 近12个月营收 $6,511 · 累计营收	✅	❌	❌	❌
"Blupry"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $1,913 · 累计营收 $3	✅	❌	❌	❌
"AuraClaw"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $24,611 · 累计营收 $	✅	❌	❌	❌
"BettrBot"	2026-09-15	TrustMRR 导入	"支付验证：Whop (API key), Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 	✅	❌	❌	❌
"ArchiRise"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $485 · 活跃订阅 12 · 近12个月营收 $4,163 · 累计营收	✅	❌	❌	❌
"Baptiste Corno"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $133 · 累计营收 $15,	✅	❌	❌	❌
"Chessigma"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $6,497 · 活跃订阅 485 · 近12个月营收 $50,006 · 	✅	❌	❌	❌
"1418 Technologies LLC"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $63 · 活跃订阅 2 · 近12个月营收 $14,731 · 累计营收 	✅	❌	❌	❌
"BetterAntispam"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $120,172 · 累计营收 	✅	❌	❌	❌
"BoltBoxAI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $3 · 活跃订阅 3 · 近12个月营收 $4,768 · 累计营收 $3	✅	❌	❌	❌
"AI text Humanizer - Netherlands & Belgium"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $933 · 活跃订阅 72 · 近12个月营收 $15,052 · 累计营	✅	❌	❌	❌
Chatbase	2026-09-15	TrustMRR 导入		✅	❌	❌	❌
"1Lookup"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $242,612 · 活跃订阅 669 · 近12个月营收 $3,636,5	✅	❌	❌	❌
"APPRENDRE MAKE"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $10 · 活跃订阅 1 · 近12个月营收 $5,866 · 累计营收 $	✅	❌	❌	❌
"CHIPTUNE"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $527 · 活跃订阅 14 · 近12个月营收 $4,800 · 累计营收	✅	❌	❌	❌
"Ai Swap : Facetik"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $521 · 活跃订阅 39 · 近12个月营收 $6,513 · 	✅	❌	❌	❌
"AI Selfie Studio"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $2,991 · 累计营收 $2	✅	❌	❌	❌
"20-0"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $428 · 活跃订阅 97 · 近12个月营收 $2,302 · 累计营收	✅	❌	❌	❌
"aiselfi.es"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $16,342 · 累计营收 $	✅	❌	❌	❌
"Agents Metrics L.L.C."	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $149 · 活跃订阅 1 · 近12个月营收 $4,539 · 累计营收 	✅	❌	❌	❌
"140.6"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $18 · 活跃订阅 2 · 近12个月营收 $257 · 累计营收	✅	❌	❌	❌
"Bidway"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 1 · 近12个月营收 $38 · 累计营收 $5,02	✅	❌	❌	❌
"Christian Tech Jobs"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $2,012 · 活跃订阅 301 · 近12个月营收 $30,371 · 	✅	❌	❌	❌
"Cornerman"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $1,491 · 累计营收 $1	✅	❌	❌	❌
"anon-1"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $511,705 · 累计营收 	✅	❌	❌	❌
"100PercentMarket"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $2,437 · 活跃订阅 10 · 近12个月营收 $6,294 · 累计	✅	❌	❌	❌
"ApexVol"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,548 · 活跃订阅 13 · 近12个月营收 $5,198 · 累计	✅	❌	❌	❌
"Analytics Mates"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $3,148 · 活跃订阅 4 · 近12个月营收 $252,206 · 累	✅	❌	❌	❌
"Abre.bio"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $141 · 活跃订阅 30 · 近12个月营收 $2,210 · 累计营收	✅	❌	❌	❌
"Sportsjobs Online"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $527 · 活跃订阅 98 · 近12个月营收 $6,930 · 累计营收	✅	❌	❌	❌
"Audn.AI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $17,900 · 活跃订阅 82 · 近12个月营收 $27,479 · 	✅	❌	❌	❌
"AIWA"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $83 · 活跃订阅 1 · 近12个月营收 $4,158 · 累计营收 $	✅	❌	❌	❌
"Aprende Hebreo"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $59 · 活跃订阅 9 · 近12个月营收 $31,432 · 累计营收 	✅	❌	❌	❌
"Anonymous Bot for Slack"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $831 · 活跃订阅 10 · 近12个月营收 $12,916 · 累计营	✅	❌	❌	❌
"Blainy"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,348 · 活跃订阅 77 · 近12个月营收 $23,330 · 累	✅	❌	❌	❌
"Agent Idea Hub"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $70 · 活跃订阅 17 · 近12个月营收 $1,562 · 累计营收 	✅	❌	❌	❌
"AI MONEY GROUP"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $9,388 · 活跃订阅 107 · 近12个月营收 $181,478 ·	✅	❌	❌	❌
"Unfair 2.0"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $0 · 累计营收 $19,82	✅	❌	❌	❌
"Applausible"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $56 · 活跃订阅 52 · 近12个月营收 $1,914 · 累	✅	❌	❌	❌
"AllToken"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $20,157 · 累计营收 $	✅	❌	❌	❌
"blazedocs.io"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $6,547 · 累计营收 $6	✅	❌	❌	❌
"Chetty"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $115 · 活跃订阅 3 · 近12个月营收 $1,710 · 累计营收 	✅	❌	❌	❌
"AI Math Solver+"	2026-09-15	TrustMRR 导入	"支付验证：RevenueCat · 当前 MRR $438 · 活跃订阅 59 · 近12个月营收 $8,302 · 	✅	❌	❌	❌
"Cattus AI"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $582 · 活跃订阅 32 · 近12个月营收 $8,616 · 累计营收	✅	❌	❌	❌
"Barakaa"	2026-09-15	TrustMRR 导入	"支付验证：Superwall · 当前 MRR $71 · 活跃订阅 26 · 近12个月营收 $3,420 · 累计	✅	❌	❌	❌
"Aidelly"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,091 · 活跃订阅 16 · 近12个月营收 $3,449 · 累计	✅	❌	❌	❌
"AppAlchemy"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $6,441 · 活跃订阅 222 · 近12个月营收 $131,630 ·	✅	❌	❌	❌
"Bustem, Inc"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $429,740 · 活跃订阅 152 · 近12个月营收 $3,655,6	✅	❌	❌	❌
"BlitzReels"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $1,251 · 活跃订阅 39 · 近12个月营收 $5,635 · 累计	✅	❌	❌	❌
"blllu"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $0 · 活跃订阅 0 · 近12个月营收 $0 · 累计营收 $13,32	✅	❌	❌	❌
"All Love Here"	2026-09-15	TrustMRR 导入	"支付验证：Shopify (OAuth connection) · 当前 MRR $0 · 活跃订阅 0 · 近12个	✅	❌	❌	❌
"Calendesk"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $21,957 · 活跃订阅 374 · 近12个月营收 $364,597 	✅	❌	❌	❌
"ChatSEO"	2026-09-15	TrustMRR 导入	"支付验证：Stripe · 当前 MRR $32,595 · 活跃订阅 743 · 近12个月营收 $206,965 	✅	❌	❌	❌
